N?Lancer;debut;fin;debut(sec);debut(cent);fin(sec);fin(cent);chute (nb images);chute (sec);;;;;;;;
1;2,18;4,07;3;0,18;4;0,07;89;1,78;
2;1,07;2,49;2;0,07;2;0,49;92;1,84;
3;10,09;11,47;11;0,09;11;0,47;88;1,76;
4;18,29;20,16;19;0,29;20;0,16;87;1,74;
5;26,43;28,29;27;0,43;28;0,29;86;1,72;
6;36,09;37,43;37;0,09;37;0,43;84;1,68;
7;43,18;45,02;44;0,18;45;0,02;84;1,68;
8;53,45;55,42;54;0,45;55;0,42;97;1,94;
9;2,01;3,43;3;0,01;3;0,43;92;1,84;
11;1,19;3,12;2;0,19;3;0,12;93;1,86;
12;9,02;10,42;10;0,02;10;0,42;90;1,8;
13;19,24;21,15;20;0,24;21;0,15;91;1,82;
14;30,15;32,05;31;0,15;32;0,05;90;1,8;
15;37,48;39,49;38;0,48;39;0,49;101;2,02;
16;46,25;48,21;47;0,25;48;0,21;96;1,92;
17;53,36;55,26;54;0,36;55;0,26;90;1,8;
18;1,09;3,04;2;0,09;3;0,04;95;1,9;
19;8,38;10,31;9;0,38;10;0,31;93;1,86;
20;16,34;18,33;17;0,34;18;0,33;99;1,98;
21;24,28;26,24;25;0,28;26;0,24;96;1,92;
22;1,19;3,12;2;0,19;3;0,12;93;1,86;
23;9,1;11,01;10;0,1;11;0,01;91;1,82;
24;19,24;21,2;20;0,24;21;0,2;96;1,92;
25;27,34;29,26;28;0,34;29;0,26;92;1,84;
26;37,23;39,2;38;0,23;39;0,2;97;1,94;
27;51,19;53,14;52;0,19;53;0,14;95;1,9;
28;0,28;2,21;1;0,28;2;0,21;93;1,86;
29;15,2;17,17;16;0,2;17;0,17;97;1,94;
30;23,05;24,44;24;0,05;24;0,44;89;1,78;
31;30,12;32,09;31;0,12;32;0,09;97;1,94;
32;2,35;4,27;3;0,35;4;0,27;92;1,84;
33;12,01;13,41;13;0,01;13;0,41;90;1,8;
34;20,12;22,07;21;0,12;22;0,07;95;1,9;
35;28,36;30,32;29;0,36;30;0,32;96;1,92;
36;36,19;38,16;37;0,19;38;0,16;97;1,94;
37;45,17;47,12;46;0,17;47;0,12;95;1,9;
38;53,18;55,14;54;0,18;55;0,14;96;1,92;
39;1,17;3,1;2;0,17;3;0,1;93;1,86;
40;8,01;9,44;9;0,01;9;0,44;93;1,86;
41;15,06;17,06;16;0,06;17;0,06;100;2;
42;1,42;3,37;2;0,42;3;0,37;95;1,9;
43;13,09;15,02;14;0,09;15;0,02;93;1,86;
44;21,04;23,03;22;0,04;23;0,03;99;1,98;
45;32,41;34,36;33;0,41;34;0,36;95;1,9;
46;40,46;42,41;41;0,46;42;0,41;95;1,9;
47;51,11;53,09;52;0,11;53;0,09;98;1,96;
48;59,37;61,32;60;0,37;61;0,32;95;1,9;
49;7,14;9,09;8;0,14;9;0,09;95;1,9;
50;15,31;17,25;16;0,31;17;0,25;94;1,88;
51;25,2;27,16;26;04:48;27;0,16;96;1,92;
52;34,26;36,2;35;06:14;36;0,2;94;1,88;